,name,location,cost
0,"One Bedroom, Cheap Pricing",Уиллистон,12
1,Belga Apartments,Ulcinj,19
2,LOFT古运河畔温馨的家,Yangzhou,23
3,Venice Every Day 3,Венеция,17
4,"Budget double room in London near Regents Park,",Большой Лондон,27
5,"Puteri Harbour Studio with Netflix, Swimming Pool",Нусаджая,19
6,【FondHouse】北欧简约风/高清投影/交通便利/近东厦100、卜蜂中心,Шаньтоу,27
7,Praia do Manaíra com conforto e ótima localização!,Manaíra,19
8,Habitación 4 personas/cama doble/ Litera /Wifi/A.C,Санта-Марта,17
9,คอนโดลุมพินีซีวิว ชะอำ,Cha-am,16
10,The Best Loft in Downtown,Чихуахуа,22
11,"Apartamento 6203- Res. Renoir, Area Central de GV",Nossa Senhora das Gracas,11
12,星光岛纳舍希岸/电影博物馆/融创茂/珊瑚贝桥/银贝大剧院/金螺秀场/游艇码头/金沙滩,Циндао,45
13,2 bed independent house,Lahore,8
14,Big 2 bedroom apartment right in Eixample,Барселона,40
15,"Location Gîte Saint-Brevin-les-Pins, 4 pièces, 4 personnes",Saint-Brevin-les-Pins,68
16,~悦享民宿~花园式绿化/欣集古镇/玉祥门城墙根/地铁一号线/钟鼓楼/回民街/骡马市商业步行街/豪华房,Сиань,25
17,"АПАРТАМЕНТЫ НА 19 ЭТАЖЕ.
Панорамный балкон!",Сочи,21
18,Квартира у моря в городе Сочи,Bolshoy Sochi,16
19,HARRY POTTER ROOM IN BEACON HILL,Сиэтл,12
20,2 bed independent house,Lahore,8
21,Estudio Loft amueblado y equipado,Toluca de Lerdo,16
22,Bright room in house with young people. Room no 2.,Орхус,26
23,Casa Cascabel II,Гуадалупе,20
24,Уютная студия в МКР Улеши,Саратов,19
25,T2 idéalement située,Lorient,33
26,บ้านเคียงธารา3,Tambon Lan Khoi,30
27,Studio meublé Prémanon,Prémanon,23
28,Casa Paraiso,"Taganga, Santa Marta",47
29,5号线/长岭陂地铁口/御岭公馆我精致的私人尊享,Шэньчжэнь,26
30,Suíte aconchegante casal na praia de Jurerê,Jurerê,23
31,Serenity Corner  (WiFi+Netflix+Sanitised),Исламабад,20
32,Luxury lodge with hot tub and sauna - Sage,Garnant,181
33,Apartamento ⭐ completo cerca al lleras ⭐ Blux 3,Медельин,29
34,Vila Lusitânia - Twin land view room,Фунчай,35
35,"Гостевой дом  ""Suvorov """,Kostroma,18
36,【珊瑚梦境】东方影都星光岛融创茂旁海景民宿，现代小清新风格，全新房源,Циндао,28
37,精品一室户近2号线创新中路,Шанхай,17
38,Ap4you Сentral,Ivano-Frankivs'k,19
39,Chambre privative à la nuit ou semaine. Ch4,Soyaux,20
40,Квартира г. Норильск,Norilsk,23
41,Petit studio situé en plein centre-ville,Metz,23
42,Spectacular plunge pool &  terrace in Tulum,Тулум,100
43,Студия недалеко от Зоопарка,Новосибирск,24
44,NOBATiA Guset house,Sheyakhah Oula,20
45,Superior Studio Flat 2 nd Floor,Beyoğlu,18
46,Artemis Rooms,Sombor,8
47,Apartamento frente al mar primera linea playa,Caleta de Vélez,94
48,Studio indépendant au pied de la colline,Mimet,19
49,Studio Aparment-Clean-Quiet-Full Natural Light,Quận 1,18
50,"""La casita de al lado""",Toluca de Lerdo,13
51,Suite Estándar,Сан-Луис-Потоси,23
52,南澳岛温馨套房 距离市区仅5分钟车程 | 交通便利 | 2米超大床舒适空间 | 可住4人,Шаньтоу,34
53,"Cosy single room with free WiFi, SmartTV, Netflix",Малага,20
54,☆Nature ●Balcony+View ♥ of Poblado ●100MbWiFi ●A/C,Медельин,36
55,Piso Mencia 312,Мойакар,33
56,"Centre ville Pornic, gîte classé 3*, 2/4 personnes",Pornic,54
57,Peaceful Gift,Вильмингтон,30
58,重庆路酒店，温馨干净人民广场地铁站门前酒店,Changchun,12
59,Casa espaçosa e aconchegante em Torres-RS,Торрес,15
60,Magnifique studio à Romans,Romans-sur-Isère,26
61,Habitación en arriendo todo incluído!,Барранкилья,9
62,Spectacular plunge pool &  terrace in Tulum,Тулум,100
63,领包入住，精装公寓,Шанхай,22
64,凤凰公寓精品民宿,Binzhou,18
65,Travelto Leto Double Room,Sankt-Peterburg,19
66,Private bedroom with king bed,Монтгомери,16
67,Уютная квартира студия на 40 лет победы 51в,Tolyatti,18
68,Piso Mencia 312,Мойакар,33
69,Baleal Surf & Wild Beach House Room I,Феррел,33
70,Studio Cosy,Tarascon-sur-Ariège,28
71,Perranporth Chalets,Корнуолл,30
72,阳光小舍_次卧_墨水湖/归元寺/国博/黄鹤楼,Ухань,20
73,五一广场、橘子洲头、岳麓山附近地铁口日式复式公寓737,Чанша,26
74,华中科技大学/地铁二号线/光谷体育馆/光谷广场/独立公寓一居室/整租,Wuhan Shi,22
75,Hab. Sencilla en Altabrisa #4,Mérida,16
76,Le Logis de la Rinière,Le Landreau,52
